messier_id,name_ja
M1,かに星雲
M2,M2
M3,M3
M4,M4
M5,M5
M6,バタフライ星団
M7,プトレマイオス星団
M8,干潟星雲
M9,M9
M10,M10
M11,たて座の野鴨星団
M12,M12
M13,ヘルクレス座球状星団
M14,M14
M15,M15
M16,わし星雲
M17,オメガ星雲
M18,M18
M19,M19
M20,三裂星雲
M21,M21
M22,M22
M23,M23
M24,いて座スタークラウド
M25,M25
M26,M26
M27,あれい状星雲
M28,M28
M29,M29
M30,M30
M31,アンドロメダ銀河
M32,M32
M33,さんかく座銀河
M34,M34
M35,M35
M36,M36
M37,M37
M38,M38
M39,M39
M40,M40
M41,M41
M42,オリオン大星雲
M43,M43
M44,プレセペ星団
M45,すばる(プレアデス星団)
M46,M46
M47,M47
M48,M48
M49,M49
M50,M50
M51,子持ち銀河
M52,M52
M53,M53
M54,M54
M55,M55
M56,M56
M57,環状星雲
M58,M58
M59,M59
M60,M60
M61,M61
M62,M62
M63,ひまわり銀河
M64,黒眼銀河
M65,M65
M66,M66
M67,M67
M68,M68
M69,M69
M70,M70
M71,M71
M72,M72
M73,M73
M74,M74
M75,M75
M76,小あれい状星雲
M77,M77
M78,M78星雲
M79,M79
M80,M80
M81,ボーデの銀河
M82,葉巻銀河
M83,南の回転花火銀河
M84,M84
M85,M85
M86,M86
M87,おとめ座A銀河
M88,M88
M89,M89
M90,M90
M91,M91
M92,M92
M93,M93
M94,M94
M95,M95
M96,M96
M97,ふくろう星雲
M98,M98
M99,M99
M100,M100
M101,回転花火銀河
M102,M102
M103,M103
M104,ソンブレロ銀河
M105,M105
M106,M106
M107,M107
M108,M108
M109,M109
M110,M110
