連番,索引番号,表示山名,表示よみ,地理院山名,山頂名,標高(m),種別,都道府県,緯度,経度,百名山,二百名山,三百名山,百高山,別名(検索用),照合方法,確認状態,備考
1,1,知床岳,しれとこだけ,知床岳,,1254,三角点,北海道,44.235726,145.273940,,,,,,,その他,
2,2,硫黄山,いおうざん,硫黄山,,1562,三角点,北海道,44.133258,145.161290,,,,,,,その他,
3,3,知円別岳,ちえんべつだけ,知円別岳,,1544,標高点,北海道,44.124615,145.168839,,,,,,,その他,
4,4,サシルイ岳,さしるいだけ,サシルイ岳,,1564,標高点,北海道,44.095319,145.143678,,,,,,,その他,
5,5,羅臼岳,らうすだけ,羅臼岳,,1660,測定点,北海道,44.075917,145.122246,1,,,,,百名山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
6,6,遠音別岳,おんねべつだけ,遠音別岳,,1330,三角点,北海道,43.993399,145.013274,,,,,,,その他,
7,7,海別岳,うなべつだけ,海別岳,,1419,三角点,北海道,43.876845,144.876540,,,,,,,その他,
8,8,斜里岳,しゃりだけ,斜里岳,,1547,標高点,北海道,43.765743,144.717659,1,,,,,百名山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
9,9,標津岳,しべつだけ,標津岳,,1061,標高点,北海道,43.668171,144.704818,,,,,,,その他,
10,10,藻琴山,もことやま,藻琴山,,1000,三角点,北海道,43.704313,144.330987,,,,,,,その他,
11,11,アトサヌプリ（硫黄山）,あとさぬぷり（いおうざん）,アトサヌプリ,,508,標高点,北海道,43.610395,144.438652,,,,,硫黄山,,その他,
12,12,カムイヌプリ（摩周岳）,かむいぬぷり（ましゅうだけ）,カムイヌプリ,,857,標高点,北海道,43.572273,144.560902,,,,,摩周岳,,その他,
13,13,雄阿寒岳,おあかんだけ,雄阿寒岳,,1370,三角点,北海道,43.454056,144.164617,,,,,,,その他,
14,14-1,阿寒岳,あかんだけ,雌阿寒岳,,1499,標高点,北海道,43.386318,144.008813,1,,,,雌阿寒岳,百名山:自動(名前部分一致・標高一致・県一致),目視確認済,百名山: 百名山の阿寒岳=雌阿寒岳1499m
15,14-2,雌阿寒岳（阿寒富士）,めあかんだけ（あかんふじ）,雌阿寒岳,阿寒富士,1476,三角点,北海道,43.374063,144.006504,,,,,雌阿寒岳/阿寒富士,,その他,
16,15,ウコタキヌプリ,うこたきぬぷり,ウコタキヌプリ,,747,標高点,北海道,43.208527,143.797571,,,,,,,その他,
17,16,礼文岳,れぶんだけ,礼文岳,,490,三角点,北海道,45.372520,141.015803,,,,,,,その他,
